id,标签,名称,来源,剂量文本,草本属性,草本经络热带,香草味,剂量
症状_0,症状,咳嗽,主诉,,,,,
症状_1,症状,白痰,现病史,,,,,
症状_2,症状,咽痒,现病史,,,,,
症状_3,症状,咳痰,现病史,,,,,
症状_4,症状,舌淡红,现病史,,,,,
症状_5,症状,纳差,现病史,,,,,
症状_6,症状,右脉沉,体格检查,,,,,
症状_7,症状,左脉细涩,体格检查,,,,,
证型_8,证型,痰气郁结证,,,,,,
方剂_9,方剂,柴朴汤,,,,,,
症状_24,症状,胃痛,主诉,,,,,
症状_25,症状,口腔溃疡,主诉,,,,,
症状_26,症状,四肢冰冷,现病史,,,,,
症状_27,症状,月经量少,现病史,,,,,
症状_28,症状,皮肤痒,现病史,,,,,
症状_29,症状,便秘,现病史,,,,,
症状_30,症状,牙痛,现病史,,,,,
症状_31,症状,腹部压痛,现病史,,,,,
症状_32,症状,棱角脸,体格检查,,,,,
症状_33,症状,手掌黄,体格检查,,,,,
症状_34,症状,体瘦,体格检查,,,,,
症状_35,症状,痤疮,体格检查,,,,,
方剂_36,方剂,甘草泻心汤,,,,,,
症状_39,症状,痰多,主诉,,,,,
症状_40,症状,严重,主诉,,,,,
症状_41,症状,焦虑状态,现病史,,,,,
症状_42,症状,腹部按之不适,现病史,,,,,
症状_43,症状,心下痞闷,现病史,,,,,
症状_44,症状,腹部振水音,现病史,,,,,
症状_45,症状,反酸,现病史,,,,,
症状_46,症状,呕吐,现病史,,,,,
症状_47,症状,嘈杂,现病史,,,,,
症状_48,症状,大便干稀不定,现病史,,,,,
症状_49,症状,口渴,现病史,,,,,
症状_50,症状,易惊恐,现病史,,,,,
症状_51,症状,干呕,现病史,,,,,
症状_52,症状,抑郁状态,现病史,,,,,
症状_53,症状,呃逆,现病史,,,,,
症状_54,症状,胃胀,现病史,,,,,
症状_55,症状,咽喉异物感,现病史,,,,,
症状_56,症状,便溏,现病史,,,,,
症状_57,症状,心下按之不适,现病史,,,,,
症状_58,症状,脉浮,体格检查,,,,,
症状_59,症状,空腹血糖受损,体格检查,,,,,
症状_60,症状,血糖增高,体格检查,,,,,
症状_61,症状,眨眼频率高,体格检查,,,,,
症状_62,症状,舌色红,体格检查,,,,,
症状_63,症状,舌质胖,体格检查,,,,,
症状_64,症状,舌苔腻,体格检查,,,,,
症状_65,症状,舌灵活,体格检查,,,,,
症状_66,症状,舌苔黄,体格检查,,,,,
